score,job_title,company,location,visa_status,posted,apply_link,rejection_reason
0,"AI/ML Engineer, Software Development - Noke","Janus International Group, LLC","Vinings, GA",Not Evaluated,18 hours ago,https://www.adzuna.com/details/5674302574?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
0,Senior Engineer - LLMOps & MLOps,Sedgwick,"Erie, PA",Not Evaluated,18 hours ago,https://lensa.com/job-v1/sedgwick/erie-pa/senior-engineer/dfe0483157298568b81a7602f344bf2b?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior engineer - llmops & mlops'
0,R&D Senior LLM Engineer,The New York Times,"New York, NY",Not Evaluated,18 hours ago,https://us.trabajo.org/job-4023-e87de200c2dacec9eac71a0334fbb211?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'r&d senior llm engineer'
0,Staff Computer Vision Engineer - Full-time,iMETALX,"Sausalito, CA",Not Evaluated,13 hours ago,https://www.snagajob.com/jobs/1204850161?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'staff computer vision engineer - full-time'
0,"Tools and Automation Engineer, Vision Products Software",Apple,"Sunnyvale, CA",Not Evaluated,19 hours ago,"https://www.ziprecruiter.com/c/Apple/Job/Tools-and-Automation-Engineer,-Vision-Products-Software/-in-Sunnyvale,CA?jid=98f6585f52f413e3&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",SKIPPED: Low skill match (1)
0,Senior Robotic Ai-Perception Engineer,Optimal Inc.,"Center Line, MI",Not Evaluated,10 hours ago,https://www.adzuna.com/details/5674544292?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior robotic ai-perception engineer'
0,Senior Machine Learning Engineer - Studio Media Algorithms,Netflix,"Los Gatos, CA",Not Evaluated,18 hours ago,https://jobs.stevenagefc.com/jobs/senior-machine-learning-engineer-studio-media-algorithms-los-gatos-california/2678737824-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior machine learning engineer - studio media algorithms'
0,AI Research Scientist - Superintelligence Labs,Meta,"San Francisco, CA",Not Evaluated,22 hours ago,https://jobs.stevenagefc.com/jobs/ai-research-scientist-superintelligence-labs-san-francisco-california/2678477307-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\bat\s+least\s+([3-9]|\d{2,})\s*years?\b'"
0,Generative AI Research Scientist,Phota Labs,"San Jose, CA",Not Evaluated,15 hours ago,https://echojobs.io/job/phota-labs-genai-research-scientist-engineer-z31dv?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'outside the us'
0,Research Scientist / Research Engineer  Early Career Cohort,OpenAI,"San Francisco, CA",Not Evaluated,22 hours ago,https://grabjobs.co/us/job/internship/others/research-scientist-research-engineer-early-career-cohort-155577300?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,SKIPPED: Low skill match (1)
0,PhD Engineer  AI Assessment Specialist,Mercor,"San Francisco, CA",Not Evaluated,13 hours ago,https://grabjobs.co/us/job/full-time/others/phd-engineer-ai-assessment-specialist-155599293?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,SKIPPED: Low skill match (1)
0,Content Writer Editor Ai Research- Remote,YO IT Consulting,"Dallas, TX",Not Evaluated,43 minutes ago,https://www.linkedin.com/jobs/view/content-writer-editor-ai-research-remote-at-yo-it-consulting-4388621421?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,SKIPPED: Low skill match (1)
0,Engineer/ AI Dev Tools,Medical Information Technology,"Minnetrista, MN",Not Evaluated,23 hours ago,https://grabjobs.co/us/job/full-time/others/engineer-ai-dev-tools-155574609?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
0,Machine Learning Researcher / Engineer (Foundational Models) - Full-time,Pathway,Anywhere,Not Evaluated,13 hours ago,https://www.snagajob.com/jobs/1139942141?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'canada'
